Row,Column,*Target Name,*Sample Name
A,1,NA,oncgor_std1
A,2,NA,oncgor_std1
A,3,NA,oncgor_std1
A,4,NA,576
A,5,NA,576
A,6,NA,576
A,7,NA,576
A,8,NA,576
A,9,NA,576
A,10,NA,583
A,11,NA,583
A,12,NA,583
B,1,NA,oncgor_std2
B,2,NA,oncgor_std2
B,3,NA,oncgor_std2
B,4,NA,577
B,5,NA,577
B,6,NA,577
B,7,NA,577
B,8,NA,577
B,9,NA,577
B,10,NA,583
B,11,NA,583
B,12,NA,583
C,1,NA,oncgor_std3
C,2,NA,oncgor_std3
C,3,NA,oncgor_std3
C,4,NA,578
C,5,NA,578
C,6,NA,578
C,7,NA,nc_plt
C,8,NA,nc_plt
C,9,NA,nc_plt
C,10,NA,584
C,11,NA,584
C,12,NA,584
D,1,NA,oncgor_std4
D,2,NA,oncgor_std4
D,3,NA,oncgor_std4
D,4,NA,578
D,5,NA,578
D,6,NA,578
D,7,NA,nc_ext
D,8,NA,nc_ext
D,9,NA,nc_ext
D,10,NA,584
D,11,NA,584
D,12,NA,584
E,1,NA,oncgor_std5
E,2,NA,oncgor_std5
E,3,NA,oncgor_std5
E,4,NA,579
E,5,NA,579
E,6,NA,579
E,7,NA,579
E,8,NA,579
E,9,NA,579
E,10,NA,546
E,11,NA,546
E,12,NA,546
F,1,NA,oncgor_std6
F,2,NA,oncgor_std6
F,3,NA,oncgor_std6
F,4,NA,580
F,5,NA,580
F,6,NA,580
F,7,NA,580
F,8,NA,580
F,9,NA,580
F,10,NA,547
F,11,NA,547
F,12,NA,547
G,1,NA,oncgor_std7
G,2,NA,oncgor_std7
G,3,NA,oncgor_std7
G,4,NA,581
G,5,NA,581
G,6,NA,581
G,7,NA,581
G,8,NA,581
G,9,NA,581
G,10,NA,548
G,11,NA,548
G,12,NA,548
H,1,NA,nc_mm
H,2,NA,nc_mm
H,3,NA,nc_mm
H,4,NA,582
H,5,NA,582
H,6,NA,582
H,7,NA,582
H,8,NA,582
H,9,NA,582
H,10,NA,549
H,11,NA,549
H,12,NA,549
